"lemma_cs","translation_ru","notes"
"tři čtvrtě","три четверти (здесь: без пятнадцати)",
"třída","класс",
"tučný","жирный",
"tudy","туда",
"tuk","жир",
"tvaroh","творог",
"tvarohový","творожный",
"tvořit","создавать, творить что",
"tvrdohlavý","упрямый",
"tyčinka","палочка, соломка (здесь: шоколадный батончик)",
"tygr","тигр",
"typ","тип",
"ubytovaný","проживающий, поселенный",
"účastnit se","участвовать в чем",
"účet","счет",
"učiliště, učňák","училище",
"udělovat, A","присуждать кому что",
"uf","уф",
"úklid","уборка",
"uklidnit","успокоить кого",
"uklízeč","уборщик",
"uklízečka","уборщица",
"úkol","задача, задание",
"ulice","улица",
"ulička","переулок, улица",
"úlovek","улов, добыча",
"umřít, umřu","умереть",
"upéct, upeču","запечь что",
"upír","вампир",
"úplně","полностью",
"upravit","обработать, поправить (здесь: обработать в фотошопе) что",
"upravovat","редактировать, исправлять что",
"určitý","определенный, конкретный",
"úřad","учреждение",
"úřad práce, pracák","центр занятости, биржа труда",
"úřední","официальный, служебный (здесь: рабочий)",
"úřední hodiny","часы работы",
"úředník","чиновник",
"úspěch","успех",
"ušetřit","сэкономить что",
"utíkat","убегать",
"utopenec","утопленник (здесь: маринованная колбаса)",
"utrácet","тратить что",
"utratit","потратить что",
"uvařit","приготовить, сварить что",
"uzenina","копченость",
"úzký","узкий",
"užít si, užiju si","насладиться чем, приятно провести время",
"v poslední době","в последнее время",
"vadit, D","беспокоить, раздражать, мешать кому что",
"vajíčko","яйцо",
"vampyrolog, vampyroložka","специалист, женщина-специалист по вампирам",
"vařený","вареный",
"vařit","готовить, варить что",
"vážná hudba","классическая музыка",
"vážně","серьезно, на самом деле",
"vážný","серьезный",
"včas","вóвремя",
"včetně","в том числе, включая что",
"věc","вещь",
"večeře","ужин",
"vědec, vědkyně","ученый, женщина-ученая",
"vedle","рядом, возле чего",
"vegetariánský","вегетарианский",
"vejít se, vejdu se do . do","войти, влезть во что",
"věk","возраст",
"věková skupina","возрастная группа",
"věkový","возрастной",
"veletrh","ярмарка",
"velmi","очень",
"ven","на улицу, вон",
"venku","на улице",
"věnovat, A","посвящать кому что",
"vepřo knedlo zelo","свинина с кнедликами и кислой капустой",
"veřejnost","общественность",
"veřejný","общественный",
"věta","предложение (грамматическое)",
"veterinář","ветеринар",
"většina","большинство",
"většinou","в основном, в большинстве, чаще",
"více, víc","больше, более",
"víckrát","несколько раз, много раз",
"víkendový","на выходные",
"virtuos","виртуоз",
"vlast","родина",
"vlastně","на самом деле, собственно",
"vlastní","собственный",
"vliv","влияние",
"vlk","волк",
"vloni, loni","в прошлом году",
"vnitřní","внутренний",
"vnouče, vnoučata","внук",
"vocať ., odsud, odtud","отсюда, оттуда",
"vodák","турист-водник",
"vodka","водка",
"vodkaď ., odkud","откуда",
"vodník","водяной",
"volno","свободное время",
"volný čas","свободное время",
"vonět","хорошо пахнуть, благоухать",
"vozík","тележка",
"vrátit se","вернуться",
"vstup","вход",
"však","однако",
"všechno","всё",
"všimnout si, všimnu si","заметить кого, обратить внимание на что",
"vtip","шутка",
"vtipně","остроумно, шутливо",
"vůbec","вообще (здесь: совсем)",
"vůně","запах",
"vybírat (si), A","выбирать (себе) кому что",
"výborně","отлично",
"výborný","отличный",
"vybrat (si), vyberu (si) ., A","выбрать (себе) кому что",
"vydělávat","зарабатывать что",
"výhled","вид",
"vyhledávaný","востребованный, пользующийся популярностью",
"výhoda","преимущество",
"vyhodit","выбросить что",
"výhodně","выгодно",
"vyhrát, vyhraju","выиграть что",
"vyhrávat","выигрывать что",
"vyhýbat se","избегать чего",
"východní","восточный",
"vychovávat","воспитывать кого",
"výjimečný","исключительный",
"vyjít, vyjdu . (Vyjde to.)","выйти (здесь: получится, удастся), Это получится.",
"výlet","поездка, экскурсия",
"vyměnit","заменить, поменять что",
"vymlouvat se","оправдываться",
"vynechat","пропустить что, отказаться от чего",
"vypadat","выглядеть",
"vypínat (si), A","выключать где что",
"vyplněný","заполненный",
"vyplnit","заполнить что",
"vypnout, vypnu (si) ., A","выключить где что",
"vyprávět, vypravovat, A","рассказывать кому что",
"výprodej","распродажа",
"vypsat soutěž","объявить конкурс",
"vyrábět","производить что",
"výrobek","продукт, изделие",
"vyřídit (si) ., A","оформить кому что",
"vyřizování","решение, оформление",
"vysoká škola, vysoká ., vejška/výška","университет, вуз",
"vysokoškolské vzdělání","высшее образование",
"vysokoškolský","вузовский, университетский",
"vysoký","высокий (здесь: высший)",
"výstaviště","выставочный комплекс",
"výše","рост, высота, размер",
"výška","высота",
"vyšší odborná škola, voška","высшее профессиональное училище",
"vytisknout, vytisknu","распечатать что",
"vytvářet","создавать что",
"vytvořit","создать что",
"výuční list","свидетельство о профессиональной подготовке",
"využívat, A","использовать что",
"výzkum","исследование",
"významný","известный",
"výživa","питание",
"výživový","питательный",
"výživový poradce","диетолог",
"vzdělání","образование",
"vzdělávací","образовательный",
"vzít (si), vezmu (si) ., A","взять (с собой) кому что",
"vzpomínat na","вспоминать что",
"vztah","отношение",
"WC","туалет",
"webová adresa","веб-адрес, адрес сайта",
"za (za měsíc)","через что, через месяц",
"zábava","развлечение, забава",
"zábavný","развлекательный, забавный",
"začátek","начало",
"začínat","начинать что",
"začít, začnu","начать",
"zahajovat","открывать что",
"zahrádka","садик",
"zajíc","заяц",
"zajímat, A (Zajímá mě…)","интересовать, меня интересует что, Меня интересует…",
"zajímat se o","интересоваться чем",
"zajímavost","интересный факт",
"zajímavý","интересный",
"zajít, zajdu","зайти",
"zákazník","клиент",
"základní","основной, начальный",
"základní škola, základka","начальная школа",
"založený","основанный",
"založit (si) ., A","основать (здесь: открыть) кому что",
"zámecký","замковый",
"zámek","замок",
"zaměřený","направленный",
"zaměstnanec","сотрудник",
"zaměstnání","работа",
"zaměstnavatel","работодатель",
"zamíchat","смешать что",
"zapínat","включать что",
"zapomenout, zapomenu . (na)","забыть о чем",
"zapsat, zapíšu","записать что",
"zařadit","включить во что",
"zařídit (si) ., A","оформить, организовать, оборудовать (здесь: обставить) кому что",
"zásada","принцип",
"zase","снова",
"zatímco","в то время как",
"závod","соревнование",
"zboží","товар",
"zbýt, zbudu, zbydu","остаться",
"zdarma, zadarmo","бесплатно",
"zdát se, D","казаться, сниться, являться в мечтах/снах кому что",
"zde","здесь",
"zdravě","здорóво",
"zdraví","здоровье",
"zdravotní","медицинский",
"zdravotní bratr, zdravotní sestra","медсестра, медбрат",
"zdravotní pojištění","медицинская страховка",
"zdravotní pojišťovna","медицинская страховая компания",
"zdravý","здоровый",
"zelí","капуста",
"zelná polévka, zelňačka","суп из капусты",
"zelný","капустный",
"země","страна",
"zemědělec","фермер",
"zeptat se . na","спросить кого о чем",
"zimní","зимний",
"získat","получить, приобрести что",
"zjistit","выяснить что",
"zkama ., odkud","откуда",
"zkonzumovat","потребить, съесть что",
"zkouška (státní zkouška)","экзамен (государственный экзамен)",
"zkrácený úvazek","неполная занятость, неполная ставка",
"zkusit","попробовать что",
"zkušenost","опыт",
"zlatý","золотой",
"zlepšit","улучшить что",
"zlobit se na","сердиться на кого",
"změnit","изменить что",
"známka","оценка",
"známý","друг, знакомый",
"znovu, znova","опять, снова",
"zodpovědnost","ответственность",
"zoologická zahrada, zoo","зоопарк",
"zorganizovat","организовать что",
"zpráva","сообщение, новость",
"zrušit","отменить что",
"ztrácet","терять что",
"ztratit se","потеряться",
"zúčastnit se","принять участие в чем",
"zůstat, zůstanu","остаться",
"zvát, zvu","звать, приглашать кого",
"zvědavý","любопытный",
"zvíře, zvířata","животное",
"zvykat si na","привыкать к чему",
"zvyklý","привыкший",
"žádat o","требовать, просить (здесь: подавать заявление) о чем",
"žádný","никакой",
"žebříček","рейтинг, ранжир",
"žít, žiju","жить",
"živnostenské oprávnění, živnosťák","лицензия на предпринимательскую деятельность, ИП",
"živnostenský úřad","управление по контролю за предпринимательской деятельностью",
"život","жизнь",
"životní","жизненный",
"životní styl","стиль жизни",
"živý","живой",
